Time [s],Current [A],Voltage [V],Cycle number,Step number,Capacity [A.h]
0.0,0.0,4.180952791493631,0,0,0.0
1.0,0.0,4.180952791493631,0,0,0.0
2.0,0.0,4.180952791493631,0,0,0.0
3.0,0.0,4.180952791493631,0,0,0.0
4.0,0.0,4.180952791493631,0,0,0.0
5.0,0.0,4.180952791493631,0,0,0.0
6.0,0.0,4.180952791493631,0,0,0.0
7.0,0.0,4.180952791493631,0,0,0.0
8.0,0.0,4.180952791493631,0,0,0.0
9.0,0.0,4.180952791493631,0,0,0.0
10.0,0.0,4.180952791493631,0,0,0.0
10.000000001,0.5,4.1610351074245795,0,1,6.944445019030354e-14
10.9,0.5,4.160613553296873,0,1,0.00012499999993055544
11.8,0.5,4.160214380001422,0,1,0.00024999999993055556
12.7,0.5,4.159837528034514,0,1,0.00037499999993055545
13.6,0.5,4.159481659924413,0,1,0.0004999999999305553
14.5,0.5,4.159145096410238,0,1,0.0006249999999305555
15.4,0.5,4.158826103770671,0,1,0.0007499999999305556
16.3,0.5,4.158523033868793,0,1,0.0008749999999305557
17.2,0.5,4.158233922894864,0,1,0.0009999999999305554
18.1,0.5,4.157957920692564,0,1,0.001124999999930556
19.0,0.5,4.157693480853747,0,1,0.0012499999999305556
19.9,0.5,4.1574403516176925,0,1,0.0013749999999305553
20.8,0.5,4.157196648307321,0,1,0.0014999999999305558
21.700000000000003,0.5,4.156962410569568,0,1,0.001624999999930556
22.6,0.5,4.156736036026333,0,1,0.0017499999999305556
23.5,0.5,4.156517619547595,0,1,0.0018749999999305557
24.4,0.5,4.156306584130768,0,1,0.0019999999999305556
25.3,0.5,4.156101956886288,0,1,0.0021249999999305557
26.2,0.5,4.155903458172757,0,1,0.002249999999930556
27.1,0.5,4.155710674813902,0,1,0.002374999999930556
28.0,0.5,4.155523366788947,0,1,0.0024999999999305556
28.900000000000002,0.5,4.1553409012513365,0,1,0.0026249999999305557
29.8,0.5,4.15516279540401,0,1,0.002749999999930556
30.7,0.5,4.154988568047089,0,1,0.002874999999930556
31.6,0.5,4.154818525495813,0,1,0.002999999999930556
32.5,0.5,4.154652452469463,0,1,0.0031249999999305553
33.400000000000006,0.5,4.1544896887065725,0,1,0.0032499999999305563
34.3,0.5,4.154329894073751,0,1,0.0033749999999305555
35.2,0.5,4.154172729440205,0,1,0.0034999999999305565
36.1,0.5,4.154019035169918,0,1,0.0036249999999305557
37.0,0.5,4.153868049640291,0,1,0.003749999999930556
37.900000000000006,0.5,4.153719521586086,0,1,0.003874999999930557
38.8,0.5,4.153573240608273,0,1,0.003999999999930556
39.7,0.5,4.153429168436466,0,1,0.004124999999930557
40.6,0.5,4.153287654106709,0,1,0.004249999999930557
41.5,0.5,4.153148234289576,0,1,0.004374999999930556
42.4,0.5,4.1530107798620515,0,1,0.004499999999930556
43.300000000000004,0.5,4.152875162043554,0,1,0.004624999999930557
44.2,0.5,4.152741465256274,0,1,0.004749999999930556
45.1,0.5,4.152609680060596,0,1,0.004874999999930556
46.0,0.5,4.152479608483183,0,1,0.0049999999999305565
46.9,0.5,4.152351164354865,0,1,0.005124999999930556
47.800000000000004,0.5,4.1522242617242595,0,1,0.005249999999930557
48.7,0.5,4.152099117922662,0,1,0.005374999999930557
49.6,0.5,4.151975523193363,0,1,0.005499999999930556
50.5,0.5,4.151853377528405,0,1,0.005624999999930556
51.4,0.5,4.1517326092874445,0,1,0.005749999999930556
52.300000000000004,0.5,4.151613147002143,0,1,0.005874999999930556
53.2,0.5,4.151494919373191,0,1,0.0059999999999305565
54.1,0.5,4.151377855267664,0,1,0.006124999999930557
55.0,0.5,4.151262102845863,0,1,0.006249999999930556
55.9,0.5,4.151147667303697,0,1,0.006374999999930556
56.800000000000004,0.5,4.151034356111832,0,1,0.006499999999930557
57.7,0.5,4.150922118030246,0,1,0.006624999999930557
58.6,0.5,4.150810901934374,0,1,0.006749999999930557
59.5,0.5,4.150700656813535,0,1,0.006874999999930556
60.4,0.5,4.150591331769414,0,1,0.006999999999930556
61.300000000000004,0.5,4.150482945419903,0,1,0.0071249999999305575
62.2,0.5,4.150375698207846,0,1,0.007249999999930556
